dialogue_line,humor
Tuna or egg salad?  Decide!,0.0
I'll have whatever Christine is having.,1.0
"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",1.0
"If I let go of my hair, my head will fall off.",1.0
"Ooh, she should not be wearing those pants.",1.0
I say push her down the stairs.,1.0
Push her down the stairs! Push her down the stairs! Push her down the stairs!,1.0
"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",1.0
You can see where he'd have trouble.,1.0
"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",1.0
"Well, I guess we've established who's staying here with Monica...",1.0
"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",1.0
"Just breathe, breathe.. that's it. Just try to think of nice calm things...",1.0
"Raindrops on roses and rabbits and kittens,  bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...",1.0
I'm all better now.,1.0
I helped!,0.0
"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.",1.0
"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",1.0
"Joey, stop hitting on her! It's her wedding day!",0.0
"What, like there's a rule or something?",1.0
"Please don't do that again, it's a horrible sound.",1.0
"It's, uh, it's Paul.",1.0
"Oh God, is it 6:30?  Buzz him in!",1.0
Who's Paul?,0.0
"Paul the Wine Guy, Paul?",0.0
Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,1.0
He finally asked you out?,1.0
Yes!,0.0
"Ooh, this is a Dear Diary moment.",0.0
"Rach, wait, I can cancel...",1.0
"Please, no, go, that'd be fine!",0.0
"Are, are you okay? I mean, do you want me to stay?",1.0
That'd be good...,1.0
Really?,1.0
"No, go on! It's Paul the Wine Guy!",0.0
"What does that mean?   Does he sell it, drink it, or just complain a lot?",1.0
"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",1.0
Hey! Paul! Hi! The Wine Guy! Hey!,0.0
"I'm sorry, I didn't catch your name. Paul, was it?",0.0
"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",1.0
A wandering?,0.0
"Change!  Okay, sit down.  Two seconds.",1.0
"Ooh, I just pulled out four eyelashes. That can't be good.",1.0
"Hey, Paul!",0.0
Yeah?,1.0
"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",1.0
"Shut up, Joey!",0.0
"So Rachel, what're you, uh... what're you up to tonight?",1.0
"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",1.0
"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",1.0
"Yes, and we're very excited about it.",0.0
"Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day.",1.0
"Okay, sure.",1.0
"Hey Pheebs, you wanna help?",0.0
"Oh, I wish I could, but I don't want to.",1.0
"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  La-la-la-la-la-  Thank you.  La-la-la-la...ohhh!",1.0
"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",1.0
I'm thinking we've got a bookcase here.,1.0
It's a beautiful thing.,1.0
What's this?,1.0
I would have to say that is an 'L'-shaped bracket.,1.0
Which goes where?,0.0
I have no idea.,1.0
Done with the bookcase!,0.0
All finished!,0.0
"This was Carol's favorite beer. She always drank it out of the can, I should have known.",1.0
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",0.0
"Yes, please don't spoil all this fun.",0.0
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",1.0
You guys.,0.0
"Oh, God.",0.0
You got screwed.,1.0
Oh my God!,0.0
Oh my God!,0.0
"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",1.0
"My brother's going through that right now, he's such a mess. How did you get through it?",1.0
"Well, you might try accidentally breaking something valuable of hers, say her-",0.0
-leg?,0.0
"That's one way! Me, I- I went for the watch.",1.0
"You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",1.0
"Ooh, steer clear of you.",0.0
That's right.,0.0
"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me.  And not that I have any idea who me is right now, but you just have to give me a chance too...",1.0
I'm divorced!  I'm only 26 and I'm divorced!,1.0
Shut up!,0.0
You must stop!,0.0
That only took me an hour.,1.0
"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.   You, however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  I don't think that was my point!",1.0
"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",1.0
"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",1.0
I honestly don't know if I'm hungry or horny.,1.0
Stay out of my freezer!,0.0
"Ever since she walked out on me, I, uh...",1.0
"What?..... What, you wanna spell it out with noodles?",1.0
"No, it's, it's more of a fifth date kinda revelation.",0.0
"Oh, so there is gonna be a fifth date?",0.0
Isn't there?,0.0
"Yeah... yeah, I think there is. -What were you gonna say?",1.0
"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform.  ...Sexually.",1.0
"Oh God, oh God, I am sorry... I am so sorry...",1.0
It's okay...,1.0
I know being spit on is probably not what you need right now. Um... how long?,1.0
Two years.,0.0
Wow! I'm-I'm-I'm glad you smashed her watch!,1.0
"So you still think you, um... might want that fifth date?",1.0
"...Yeah. Yeah, I do.",1.0
"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.",0.0
Oh...see... but Joanne loved Chachi! That's the difference!,1.0
"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",1.0
"Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man,",1.0
"Angela's the screamer, Andrea has cats.",0.0
Right.  Thanks.  It's June.  I'm outta here.,1.0
"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",1.0
"Isn't this amazing? I mean, I have never made coffee before in my entire life.",1.0
That is amazing.,0.0
Congratulations.,0.0
"Y'know, I figure if I can make coffee, there isn't anything I can't do.",1.0
"If can invade Poland, there isn't anything I can't do.",0.0
"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something...  Although actually I'm really not that hungry...",1.0
"Oh good, Lenny and Squigy are here.",1.0
Morning. Good morning.,0.0
Morning.,0.0
"Morning, Paul.",0.0
"Hello, Paul.",0.0
"Hi, Paul, is it?",0.0
Thank you!  Thank you so much!,0.0
Stop!,0.0
"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",1.0
We'll talk later.,0.0
Yeah.  Thank you.,0.0
That wasn't a real date?! What the hell do you do on a real date?,1.0
"Shut up, and put my table back.",1.0
Okayyy!,0.0
"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",1.0
"So, like, you guys all have jobs?",0.0
"Yeah, we all have jobs. See, that's how we buy stuff.",1.0
"Yeah, I'm an actor.",1.0
Wow! Would I have seen you in anything?,1.0
I doubt it. Mostly regional work.,1.0
"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",1.0
"Look, it was a job all right?",1.0
"'Look, Gippetto, I'm a real live boy.'",0.0
I will not take this abuse.,0.0
"You're right, I'm sorry.  ""Once I was a wooden boy, a little wooden boy...""",1.0
"You should both know, that he's a dead man.  Oh, Chandler?",1.0
So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,1.0
I can see that. You look like you slept with a hanger in your mouth.,1.0
"I know, he's just so, so... Do you remember you and Tony DeMarco?",1.0
"Oh, yeah.",1.0
"Well, it's like that. With feelings.",1.0
Oh wow. Are you in trouble.,1.0
Big time!,0.0
Want a wedding dress?   Hardly used.,1.0
"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",1.0
"Oh, look, wish me luck!",0.0
What for?,0.0
I'm gonna go get one of those  job things.,1.0
"Hey, Monica!",0.0
"Hey Frannie, welcome back! How was Florida?",0.0
"You had sex, didn't you?",1.0
How do you do that?,1.0
"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex!  So? Who?",1.0
You know Paul?,1.0
"Paul the Wine Guy? Oh yeah, I know Paul.",1.0
You mean you know Paul like I know Paul?,1.0
"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",1.0
Of course it was a line!,1.0
"Why?! Why? Why, why would anybody do something like that?",1.0
I assume we're looking for an answer more sophisticated than 'to get you into bed'.,0.0
I hate men!  I hate men!,1.0
"Oh no, don't hate, you don't want to put that out into the universe.",1.0
Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,1.0
"All right, c'mere, gimme your feet.",0.0
"I just thought he was nice, y'know?",1.0
I can't believe you didn't know it was a line!,1.0
Guess what?,1.0
You got a job?,1.0
Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,1.0
And yet you're surprisingly upbeat.,1.0
"You would be too if you found John and David boots on sale, fifty percent off!",0.0
"Oh, how well you know me...",1.0
"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",1.0
How'd you pay for them?,1.0
"Uh, credit card.",1.0
And who pays for that?,0.0
Um... my... father.,1.0
"Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want.",1.0
"C'mon, you can't live off your parents your whole life.",0.0
I know that. That's why I was getting married.,1.0
"Give her a break, it's hard being on your own for the first time.",0.0
Thank you.,0.0
"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",1.0
The word you're looking for is 'Anyway'...,1.0
"All right, you ready?",0.0
"No.  No, no, I'm not ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the airplane without your parachute?""  Come on, I can't do this!",1.0
"You can, I know you can!",0.0
I don't think so.,1.0
"Come on, you made coffee!   You can do anything!",1.0
"C'mon, cut. Cut, cut, cut,...",1.0
"Cut, cut, cut, cut, cut, cut, cut...",1.0
Y'know what?  I think we can just leave it at that.  It's kinda like a symbolic gesture...,1.0
Rachel!  That was a library card!,1.0
"Cut, cut, cut, cut, cut, cut, cut..",0.0
"Y'know, if you listen closely, you can hear a thousand retailers scream.",1.0
Welcome to the real world! It sucks. You're gonna love it!,0.0
"Well, that's it  You gonna crash on the couch?",1.0
"No. No, I gotta go home sometime.",1.0
You be okay?,0.0
Yeah.,1.0
"Hey Mon, look what I just found on the floor.  What?",1.0
"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",1.0
Goodnight.,0.0
"Mmm.  Oh, no-",0.0
Sorry-,0.0
"No no no, go-",0.0
"No, you have it, really, I don't want it-",0.0
Split it?,0.0
Okay.,0.0
"Okay.  You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",1.0
I knew.,1.0
You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,1.0
I did.,1.0
"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",1.0
"Yeah, maybe...",1.0
"Okay... okay, maybe I will...",1.0
Goodnight.,0.0
Goodnight.,0.0
"See ya.... Waitwait, what's with you?",1.0
I just grabbed a spoon.,1.0
I can't believe what I'm hearing here.,1.0
I can't believe what I'm hearing here...,1.0
What? I-I said you had a-,1.0
What I said you had...,1.0
Would you stop?,1.0
"Oh, was I doing it again?",1.0
Yes!,0.0
"I said that you had a nice butt, it's just not a great butt.",1.0
"Oh, you wouldn't know a great butt if it came up and bit ya.",1.0
There's an image.,1.0
Would anybody like more coffee?,1.0
"Did you make it, or are you just serving it?",1.0
I'm just serving it.,1.0
"Yeah. Yeah, I'll have a cup of coffee.",1.0
"Kids, new dream... I'm in Las Vegas.",1.0
"Ahh, miss?   More coffee?",1.0
"Ugh.  Excuse me, could you give this to that guy over there?  Go ahead.  Thank you.  Sorry.  Okay, Las Vegas.",1.0
"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",1.0
"What you guys don't understand is, for us, kissing is as important as any part of it.",0.0
"Yeah, right!.......Y'serious?",1.0
"Oh, yeah!",0.0
Everything you need to know is in that first kiss.,0.0
Absolutely.,0.0
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",1.0
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",1.0
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",1.0
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",1.0
....Are we still talking about sex?,1.0
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",1.0
"Well, she has issues.",0.0
Does she.,0.0
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",1.0
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",1.0
"Speaking of issues, isn't that your ex-wife?",0.0
No. No.,0.0
"Yes, it is. Carol! Hi!",0.0
"Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age.",1.0
Hi.,0.0
So.,0.0
"You look great. I, uh... I hate that.",1.0
Sorry. You look good too.,1.0
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",1.0
A lesbian?,0.0
"Well... you never know. How's, um.. how's the family?",1.0
"Marty's still totally paranoid. Oh, and, uh-",1.0
"Why- why are you here, Carol?",0.0
I'm pregnant.,1.0
Pregnant?!,0.0
"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",1.0
...Then I've already seen this one!,1.0
Are you through with that?,0.0
"Yeah, sorry, the swallowing slowed me down.",1.0
Whose little ball of paper is this?!,1.0
"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead.",1.0
"She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!",1.0
"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",1.0
"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",0.0
"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",1.0
"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",1.0
"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.",1.0
"Ew, ew, ew, ew ew ew ew ew!",0.0
What?,1.0
Ugly Naked Guy got a Thighmaster!,1.0
Eeaagh!,0.0
Has anybody seen my engagement ring?,1.0
"Yeah, it's beautiful.",1.0
"Oh God, oh God, oh God oh God oh God oh God....",1.0
"No, look, don't touch that!",0.0
"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",1.0
"Easy Rach, we'll find it.  Won't we!",0.0
Oh! Yeah!,1.0
"Alright, when'd'ya have it on last?",0.0
Doy! Probably right before she lost it!,1.0
You don't get a lot of 'doy' these days...,1.0
"I know I had it this morning, and I know I had it when I was in the kitchen with...",1.0
...Dinah?,1.0
"Ohhhhh, don't be mad...",1.0
You didn't.,1.0
"Oh, I am sorry...",1.0
I gave you one job!,0.0
"Oh, but look how straight those noodles are!",0.0
"Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",1.0
I just... can't do it.,1.0
Boys? We're going in.,1.0
.....Hi.,1.0
Wow. That is not a happy hi.,1.0
Carol's pregnant.,0.0
Ooh! I found it!,1.0
W-w-wh-... wha-... w-w-w-...,1.0
"Yeah. Do that for another two hours, you might be where I am right about now.",1.0
"Kinda puts that whole pillow thing in perspective, huh, Mon?",1.0
"Well now, how-how do you fit into this whole thing?",1.0
"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",1.0
She is so great! I miss her.,1.0
What does she mean by 'involved'?,1.0
"I mean presumably, the biggest part of your job is done.",1.0
"Anyway, they want me to go down to this- sonogram thing with them tomorrow.",0.0
So what are you gonna do?,0.0
"I have no idea. No matter what I do, though, I'm still gonna be a father.",1.0
".....Well, this is still ruined, right?",1.0
"Oh, Martha Ludwin's daughter is gonna call you.  Mmm! What's that curry taste?",1.0
Curry.,0.0
Mmmm!,0.0
"I- I think they're great! I, I really do.",1.0
"Do you remember the Ludwins? The big one had a thing for you, didn't she?",1.0
They all had a thing for him.,0.0
"Aw, Mom...",1.0
"I'm sorry, why is this girl going to call me?",1.0
"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-",1.0
"No Mom, I don't have a restaurant, I work in a restaurant.",1.0
"Well, they don't have to know that...",1.0
"Ross, could you come and help me with the spaghetti, please?",0.0
Yeah.,1.0
"Oh, we're having spaghetti! That's.... easy.",1.0
"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",1.0
"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",1.0
I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,1.0
"Well, at least she had the chance to leave a man at the altar...",1.0
What's that supposed to mean?,1.0
Nothing! It's an expression.,1.0
No it's not.,0.0
"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",1.0
"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.",1.0
"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.",1.0
"So, Ross, what's going on with you? Any stories?  No news, no little anecdotes to share with the folks?",1.0
"Okay! Okay.  Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",1.0
And you knew about this?!,1.0
"Your folks are really that bad, huh?",1.0
"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.",1.0
"Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours.",1.0
Must pee.,0.0
"Y'know, it's even worse when you're twins.",1.0
You're twins?,1.0
"Yeah. We don't speak. She's like this high-powered, driven career type.",1.0
What does she do?,1.0
She's a waitress.,1.0
"All right, you guys, I kinda gotta clean up now.",1.0
"Chandler, you're an only child, right? You don't have any of this.",1.0
"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",1.0
"The lights, please..",0.0
...How long was I in there?,1.0
I'm just cleaning up.,1.0
D'ya.. uh.. d'ya need any help?,1.0
"Uh.. okay, sure! Thanks!",1.0
"Anyway.. um..  So, you- uh- you nervous about Barry tomorrow?",1.0
Oh.. a little..,1.0
Mm-hmm..,0.0
A lot.,1.0
Mm.,0.0
"So, got any advice? Y'know, as someone who's recently been- dumped?",1.0
"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",1.0
"Oh, you've got Carol tomorrow.. When did it get so complicated?",1.0
Got me.,1.0
Remember when we were in high school together?,0.0
Yeah.,1.0
"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it?  ..Ross?",1.0
"Yes, yes!",0.0
"Oh! Man, I never thought I'd be here..",1.0
Me either...,1.0
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",1.0
Hi.,0.0
"Ross, you remember Susan.",0.0
How could I forget?,1.0
Ross.,0.0
"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",1.0
Dr. Oberman.,0.0
..Dr. Oberman. Okay. And is he-,1.0
She.,0.0
"-she, of course, she- uh- familiar with our.. special situation?",0.0
"Yes, and she's very supportive.",0.0
"Okay, that's great.  No, I'm- Oh.",1.0
Thanks.,0.0
"Quack, quack..",0.0
Ross? That opens my cervix.,1.0
Barry?,0.0
C'mon in.,0.0
Are you sure?,0.0
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",1.0
Huh?!,1.0
"So, how ya doin?",1.0
I'm- uh- I'm okay... You look great!,1.0
"Yeah, well..",1.0
"Dr. Farber, Jason Greenstein's gagging.",0.0
Be right there.  Be back in a sec.,1.0
I dumped him.,1.0
Okay.,0.0
"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",1.0
Give me a 'for instance'.,0.0
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",1.0
Marlon-,0.0
Marlon?!,0.0
"-if it's a boy, Minnie if it's a girl.",1.0
...As in Mouse?,1.0
As in my grandmother.,1.0
"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",1.0
Julia..,0.0
We agreed on Minnie.,0.0
"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",1.0
Sorry about that. So. What have you been up to?,1.0
"Oh, not much. I-I got a job.",1.0
"Oh, that's great.",1.0
Why are- why are you so tanned?,1.0
"Oh, I, uh- I went to Aruba.",1.0
Oh no. You went on our honeymoon alone?,1.0
"No. I went with, uh.. Now, this may hurt.",1.0
Me?!,1.0
No!  I went with Mindy.,1.0
"Mindy?! My maid of honour, Mindy?!",1.0
"Yeah, well, uh, we're kind of a thing now.",1.0
"Oh! Well, um..  You've got plugs!",1.0
Careful! They haven't quite taken yet.,0.0
And you've got lenses! But you hate sticking your finger in your eye!,1.0
"Not for her. Listen, I really wanted to thank you.",1.0
Okay..,1.0
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",1.0
Wow.,0.0
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",1.0
What?,1.0
Me.,0.0
"Anyway, um,  I guess this belongs to you. And thank you for giving it to me.",1.0
"Well, thank you for giving it back.",0.0
Hello?!,0.0
"Oh, please! What's wrong with Helen?",1.0
Helen Geller? I don't think so.,1.0
Hello? It's not gonna be Helen Geller.,0.0
Thank you!,0.0
"No, I mean it's not Geller.",1.0
"What, it's gonna be Helen Willick?",0.0
"No, actually, um, we talked about Helen Willick-Bunch.",1.0
"Well, wait a minute, wha- why is she in the title?",1.0
It's my baby too.,1.0
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",1.0
"Yeah, and we all know what a challenge that is!",0.0
"All right, you two, stop it!",0.0
"No no no, she gets a credit, hey, I'm in there too.",1.0
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,1.0
"Of course not, I'm... suggesting Geller-Willick-Bunch.",1.0
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",1.0
"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",1.0
Knock knock!How are we today? Any nausea?,1.0
Yeah. Yeah. A little.,1.0
